Longitude,Latitude,attraction
127.0043472,37.5642554,동대문역사문화공원
126.9954579,37.5427635,서울식물원
126.9882475,37.5512168,N서울타워
127.0385663,37.5419644,서울숲
126.9770162,37.5788407,경복궁
127.0981638,37.5110793,롯데월드 어드벤처
126.9876205,37.5794843,창덕궁
126.9749148,37.5660945,덕수궁
127.0493651,37.5090947,선정릉
127.1025625,37.5125702,롯데월드타워 서울스카이
126.8850629,37.5675623,마포구하늘공원
127.0077586,37.5704758,동대문종합시장
126.9850839,37.581354,북촌한옥마을
127.007587,37.580477,낙산공원
126.9798034,37.5244365,국립중앙박물관
126.9768428,37.5760259,광화문
126.9779586,37.6587066,북한산
126.994142,37.5794952,창경궁
127.0594275,37.5116621,스타필드 코엑스몰
127.102135,37.5095249,석촌호수
127.0928481,37.6240911,화랑대 철도공원
127.0056375,37.5696512,청계천
126.998323,37.4975181,서래마을
126.9685341,37.570773,경희궁
126.970658,37.5567644,서울로 7017
126.9685308,37.5688459,돈의문박물관마을
126.9753127,37.5667016,덕수궁 돌담길
126.9061969,37.556304,망원시장
126.9348268,37.5263232,여의도한강공원
126.993561,37.5584554,남산골한옥마을
126.9229824,37.5619568,경의선숲길
126.983379,37.5766474,서울공예박물관
126.9260949,37.5581871,AK PLAZA 홍대
126.9562269,37.5742887,서대문형무소역사관
126.9990691,37.5701661,광장시장
126.9984326,37.5126585,반포대교 달빛무지개분수
126.9959703,37.5124345,세빛섬
126.9805512,37.6019754,북악팔각정
126.8789069,37.571805,월드컵공원
127.122959,37.5209339,올림픽공원
127.1188664,37.5227975,몽촌토성
126.9376125,37.5765663,서대문자연사박물관
126.823639,37.4825508,푸른수목원
127.1043459,37.4988678,송파책박물관
126.9753562,37.5599757,숭례문
126.9901671,37.5907944,와룡공원
127.0360364,37.66545,방학동도깨비시장
127.0035447,37.4960907,몽마르뜨공원
126.976971,37.5709663,이순신장군동상
126.9442193,37.5356886,채그로
127.1040794,37.5134935,롯데월드몰
127.099836,37.5114178,롯데호텔 월드
126.9578437,37.5849,인왕산
127.0706769,37.5294517,한강시민공원 뚝섬지구
127.0192775,37.5738703,종묘
127.0952714,37.6636718,불암산
126.9703493,37.5806829,통인시장
126.965977,37.593724,소소한 풍경
126.9732243,37.5826284,청와대사랑채
126.9950258,37.5100065,반포한강공원
126.9883358,37.5710899,탑골공원
126.976486,37.560374,남대문 문구상가
127.0809212,37.5498986,서울어린이대공원
127.0435017,37.5462879,섬세이 테라리움
